algorithm,base_algorithm,execution_type,threads,size,data_type,sample,time_ns,time_ms,sorted
MergeSortSerial,MergeSort,SERIAL,1,10000,RANDOM,1,2797124,2.797124,true
MergeSortParallel,MergeSort,PARALLEL,2,10000,RANDOM,1,7432876,7.432876,true
MergeSortParallel,MergeSort,PARALLEL,4,10000,RANDOM,1,5065834,5.065834,true
MergeSortParallel,MergeSort,PARALLEL,8,10000,RANDOM,1,3903035,3.903035,true
MergeSortParallel,MergeSort,PARALLEL,16,10000,RANDOM,1,1274549,1.274549,true
MergeSortSerial,MergeSort,SERIAL,1,10000,RANDOM,2,974486,0.974486,true
MergeSortParallel,MergeSort,PARALLEL,2,10000,RANDOM,2,985017,0.985017,true
MergeSortParallel,MergeSort,PARALLEL,4,10000,RANDOM,2,1178596,1.178596,true
MergeSortParallel,MergeSort,PARALLEL,8,10000,RANDOM,2,1232562,1.232562,true
MergeSortParallel,MergeSort,PARALLEL,16,10000,RANDOM,2,1298887,1.298887,true
MergeSortSerial,MergeSort,SERIAL,1,10000,RANDOM,3,772323,0.772323,true
MergeSortParallel,MergeSort,PARALLEL,2,10000,RANDOM,3,1336995,1.336995,true
MergeSortParallel,MergeSort,PARALLEL,4,10000,RANDOM,3,1202162,1.202162,true
MergeSortParallel,MergeSort,PARALLEL,8,10000,RANDOM,3,1223228,1.223228,true
MergeSortParallel,MergeSort,PARALLEL,16,10000,RANDOM,3,1214170,1.214170,true
MergeSortSerial,MergeSort,SERIAL,1,10000,RANDOM,4,720450,0.720450,true
MergeSortParallel,MergeSort,PARALLEL,2,10000,RANDOM,4,1078546,1.078546,true
MergeSortParallel,MergeSort,PARALLEL,4,10000,RANDOM,4,947232,0.947232,true
MergeSortParallel,MergeSort,PARALLEL,8,10000,RANDOM,4,1267260,1.267260,true
MergeSortParallel,MergeSort,PARALLEL,16,10000,RANDOM,4,1217305,1.217305,true
MergeSortSerial,MergeSort,SERIAL,1,10000,RANDOM,5,727700,0.727700,true
MergeSortParallel,MergeSort,PARALLEL,2,10000,RANDOM,5,1232228,1.232228,true
MergeSortParallel,MergeSort,PARALLEL,4,10000,RANDOM,5,1198693,1.198693,true
MergeSortParallel,MergeSort,PARALLEL,8,10000,RANDOM,5,1215233,1.215233,true
MergeSortParallel,MergeSort,PARALLEL,16,10000,RANDOM,5,1167906,1.167906,true
MergeSortSerial,MergeSort,SERIAL,1,50000,RANDOM,1,4288493,4.288493,true
