algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms_parallel,std_time_ms,samples,mean_time_ms_serial,speedup,efficiency
MergeSortParallel,MergeSort,PARALLEL,16,100000,SORTED,1.9635418000000002,0.43704333813330226,5,2.738219,1.3945305366048228,0.08715815853780143
MergeSortParallel,MergeSort,PARALLEL,16,500000,NEARLY_SORTED,6.889114599999999,1.9324784658236949,5,15.867114599999999,2.3032153652952734,0.14395096033095459
MergeSortParallel,MergeSort,PARALLEL,16,500000,RANDOM,17.439947999999998,4.085284090537707,5,54.0652544,3.1000811699667916,0.19375507312292448
MergeSortParallel,MergeSort,PARALLEL,16,500000,REVERSED,5.419942600000001,1.4694573403968896,5,13.8362584,2.552842238587545,0.15955263991172156
MergeSortParallel,MergeSort,PARALLEL,16,500000,SORTED,6.0125746,1.203117644538679,5,13.246366,2.2031104611991013,0.13769440382494383
QuickSortParallel,QuickSort,PARALLEL,2,10000,NEARLY_SORTED,1.0976928,0.3494157388079421,5,0.7429005999999999,0.676783704876264,0.338391852438132
QuickSortParallel,QuickSort,PARALLEL,2,10000,RANDOM,1.1393744,0.1525612102347775,5,1.096419,0.9622991353851729,0.48114956769258643
QuickSortParallel,QuickSort,PARALLEL,2,10000,REVERSED,0.5641681999999999,0.07893902697778836,5,0.24211080000000001,0.4291464850376183,0.21457324251880916
QuickSortParallel,QuickSort,PARALLEL,2,10000,SORTED,0.3304394,0.05393470069723202,5,0.10552500000000001,0.3193475112229353,0.15967375561146765
QuickSortParallel,QuickSort,PARALLEL,2,50000,NEARLY_SORTED,3.4160204,1.0189847605731404,5,3.1057651999999996,0.9091764206091977,0.45458821030459884
QuickSortParallel,QuickSort,PARALLEL,2,50000,RANDOM,3.325662,0.44712327956783904,5,4.5486672,1.3677478950055657,0.6838739475027829
QuickSortParallel,QuickSort,PARALLEL,2,50000,REVERSED,2.3944707999999997,0.5829860391477655,5,2.6257146,1.0965740739039291,0.5482870369519646
QuickSortParallel,QuickSort,PARALLEL,2,50000,SORTED,0.9836145999999999,0.23085036715868576,5,0.7541634,0.7667265207328156,0.3833632603664078
QuickSortParallel,QuickSort,PARALLEL,2,100000,NEARLY_SORTED,4.772144,1.1527109647797664,5,6.914726,1.448976812099551,0.7244884060497755
QuickSortParallel,QuickSort,PARALLEL,2,100000,RANDOM,6.0817076,1.1803965647435188,5,8.4289624,1.3859532477358827,0.6929766238679413
QuickSortParallel,QuickSort,PARALLEL,2,100000,REVERSED,3.4068888,0.8778348821627561,5,4.880682999999999,1.4325923992588192,0.7162961996294096
QuickSortParallel,QuickSort,PARALLEL,2,100000,SORTED,1.2407325999999999,0.32272553591139946,5,1.9047546,1.5351854219031564,0.7675927109515782
QuickSortParallel,QuickSort,PARALLEL,2,500000,NEARLY_SORTED,15.564365800000001,4.368001679181764,5,24.194058000000002,1.5544519006357458,0.7772259503178729
QuickSortParallel,QuickSort,PARALLEL,2,500000,RANDOM,21.366590000000002,0.7487090915198642,5,38.8539176,1.8184426059563084,0.9092213029781542
QuickSortParallel,QuickSort,PARALLEL,2,500000,REVERSED,12.2294046,3.366285414687427,5,20.0060014,1.6358933287725224,0.8179466643862612
QuickSortParallel,QuickSort,PARALLEL,2,500000,SORTED,5.17849,1.2786977033644427,5,6.9722786,1.3463922108568327,0.6731961054284163
QuickSortParallel,QuickSort,PARALLEL,4,10000,NEARLY_SORTED,0.8167248,0.24402308453136148,5,0.7429005999999999,0.9096094547392217,0.22740236368480543
QuickSortParallel,QuickSort,PARALLEL,4,10000,RANDOM,1.1922592,0.16232970094132496,5,1.096419,0.9196146274232986,0.22990365685582465
QuickSortParallel,QuickSort,PARALLEL,4,10000,REVERSED,0.5248106,0.12340709098264978,5,0.24211080000000001,0.4613298588100164,0.1153324647025041
QuickSortParallel,QuickSort,PARALLEL,4,10000,SORTED,0.3135538,0.014546868845218918,5,0.10552500000000001,0.3365451160215568,0.0841362790053892
QuickSortParallel,QuickSort,PARALLEL,4,50000,NEARLY_SORTED,2.2700248000000003,0.32957054849106276,5,3.1057651999999996,1.3681635548651272,0.3420408887162818
QuickSortParallel,QuickSort,PARALLEL,4,50000,RANDOM,2.6833486,0.668833700389566,5,4.5486672,1.695145833828672,0.423786458457168
QuickSortParallel,QuickSort,PARALLEL,4,50000,REVERSED,1.603313,0.25412415135126365,5,2.6257146,1.6376806026022366,0.40942015065055914
QuickSortParallel,QuickSort,PARALLEL,4,50000,SORTED,0.7102554000000001,0.04989315548549721,5,0.7541634,1.061820015729553,0.26545500393238824
QuickSortParallel,QuickSort,PARALLEL,4,100000,NEARLY_SORTED,5.2986813999999995,2.5248739691210926,5,6.914726,1.3049899546706092,0.3262474886676523
QuickSortParallel,QuickSort,PARALLEL,4,100000,RANDOM,4.1459612,0.4618363156727718,5,8.4289624,2.0330538549178896,0.5082634637294724
QuickSortParallel,QuickSort,PARALLEL,4,100000,REVERSED,2.1630036,0.6613050046463433,5,4.880682999999999,2.2564377608987796,0.5641094402246949
QuickSortParallel,QuickSort,PARALLEL,4,100000,SORTED,1.0657320000000001,0.3296993742525151,5,1.9047546,1.7872735359358636,0.4468183839839659
QuickSortParallel,QuickSort,PARALLEL,4,500000,NEARLY_SORTED,12.5107856,5.8306998253159374,5,24.194058000000002,1.9338560162041305,0.4834640040510326
QuickSortParallel,QuickSort,PARALLEL,4,500000,RANDOM,14.908932199999999,1.0362303575579612,5,38.8539176,2.60608319085387,0.6515207977134675
QuickSortParallel,QuickSort,PARALLEL,4,500000,REVERSED,8.649157800000001,2.3799222230177395,5,20.0060014,2.3130577407201423,0.5782644351800356
QuickSortParallel,QuickSort,PARALLEL,4,500000,SORTED,8.1912024,11.346657945081617,5,6.9722786,0.8511911022977531,0.21279777557443827
QuickSortParallel,QuickSort,PARALLEL,8,10000,NEARLY_SORTED,0.8581988,0.5069766926907981,5,0.7429005999999999,0.8656509424156732,0.10820636780195915
QuickSortParallel,QuickSort,PARALLEL,8,10000,RANDOM,1.2018460000000002,0.12967511780600005,5,1.096419,0.9122791106348067,0.11403488882935084
QuickSortParallel,QuickSort,PARALLEL,8,10000,REVERSED,0.5269018,0.078405115379674,5,0.24211080000000001,0.4594989047294961,0.057437363091187014
QuickSortParallel,QuickSort,PARALLEL,8,10000,SORTED,0.3200456,0.03511902043480143,5,0.10552500000000001,0.32971864009378665,0.04121483001172333
QuickSortParallel,QuickSort,PARALLEL,8,50000,NEARLY_SORTED,2.8173804000000002,0.889833534639092,5,3.1057651999999996,1.102359198637145,0.13779489982964313
QuickSortParallel,QuickSort,PARALLEL,8,50000,RANDOM,2.4055352,0.4241036201050399,5,4.5486672,1.890916915287708,0.2363646144109635
QuickSortParallel,QuickSort,PARALLEL,8,50000,REVERSED,1.3705028000000001,0.20833197023908742,5,2.6257146,1.9158768592081676,0.23948460740102095
QuickSortParallel,QuickSort,PARALLEL,8,50000,SORTED,0.6942600000000001,0.10169741783103443,5,0.7541634,1.0862838129807275,0.13578547662259094
QuickSortParallel,QuickSort,PARALLEL,8,100000,NEARLY_SORTED,4.7273,2.6286008758065575,5,6.914726,1.4627220612188776,0.1828402576523597
QuickSortParallel,QuickSort,PARALLEL,8,100000,RANDOM,4.1200958,0.5974375523970685,5,8.4289624,2.045817089981257,0.25572713624765714
QuickSortParallel,QuickSort,PARALLEL,8,100000,REVERSED,2.0020455999999998,0.693467519712567,5,4.880682999999999,2.4378480689950317,0.30473100862437896
