algorithm,base_algorithm,execution_type,threads,size,data_type,mean_time_ms,std_time_ms,samples
QuickSortParallel,QuickSort,PARALLEL,4,100000,RANDOM,4.1459612,0.4618363156727718,5
QuickSortParallel,QuickSort,PARALLEL,4,100000,REVERSED,2.1630036,0.6613050046463433,5
QuickSortParallel,QuickSort,PARALLEL,4,100000,SORTED,1.0657320000000001,0.3296993742525151,5
QuickSortParallel,QuickSort,PARALLEL,4,500000,NEARLY_SORTED,12.5107856,5.8306998253159374,5
QuickSortParallel,QuickSort,PARALLEL,4,500000,RANDOM,14.908932199999999,1.0362303575579612,5
QuickSortParallel,QuickSort,PARALLEL,4,500000,REVERSED,8.649157800000001,2.3799222230177395,5
QuickSortParallel,QuickSort,PARALLEL,4,500000,SORTED,8.1912024,11.346657945081617,5
QuickSortParallel,QuickSort,PARALLEL,8,10000,NEARLY_SORTED,0.8581988,0.5069766926907981,5
QuickSortParallel,QuickSort,PARALLEL,8,10000,RANDOM,1.2018460000000002,0.12967511780600005,5
QuickSortParallel,QuickSort,PARALLEL,8,10000,REVERSED,0.5269018,0.078405115379674,5
QuickSortParallel,QuickSort,PARALLEL,8,10000,SORTED,0.3200456,0.03511902043480143,5
QuickSortParallel,QuickSort,PARALLEL,8,50000,NEARLY_SORTED,2.8173804000000002,0.889833534639092,5
QuickSortParallel,QuickSort,PARALLEL,8,50000,RANDOM,2.4055352,0.4241036201050399,5
QuickSortParallel,QuickSort,PARALLEL,8,50000,REVERSED,1.3705028000000001,0.20833197023908742,5
QuickSortParallel,QuickSort,PARALLEL,8,50000,SORTED,0.6942600000000001,0.10169741783103443,5
QuickSortParallel,QuickSort,PARALLEL,8,100000,NEARLY_SORTED,4.7273,2.6286008758065575,5
QuickSortParallel,QuickSort,PARALLEL,8,100000,RANDOM,4.1200958,0.5974375523970685,5
QuickSortParallel,QuickSort,PARALLEL,8,100000,REVERSED,2.0020455999999998,0.693467519712567,5
QuickSortParallel,QuickSort,PARALLEL,8,100000,SORTED,0.8449564,0.049773720539055565,5
QuickSortParallel,QuickSort,PARALLEL,8,500000,NEARLY_SORTED,20.887796,19.155532244520888,5
QuickSortParallel,QuickSort,PARALLEL,8,500000,RANDOM,17.0429226,10.782829851399041,5
QuickSortParallel,QuickSort,PARALLEL,8,500000,REVERSED,6.642967799999999,1.565532865040431,5
QuickSortParallel,QuickSort,PARALLEL,8,500000,SORTED,2.4065138,0.2983786435440713,5
